numeric_id,experiment,gender,age,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study
11,3,male,31,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,3,3,3,3,0.5501193557782894,"He has two siblings - a brother called Tom and a sister called Susan. They live in the same small town and live a bus ride away.
He helped a friend in college pass an exam.
He believes in chivalry. For example, if he saw a pregnant woman on the bus he would give up his seat. She needs it more than him.
During weekends, Chris likes to help out his grandmother as she is quite elderly and wants to spend as much time with her now as he can while she is still around.
His videos are slightly different as he has moved to a new apartment and has a new haircut.",Moderately_Diagnostic,No Demand,No Reactance,"How certain words when put against names can influence how you feel about a person. Without any facts or information, it could cause unfair prejudice. I'm not sure the purpose of the study but I feel like it could be related to how the media write stories or how certain language that we use have certain connotations and how the public can be influenced by this.","Definitely. With the little information given, he said the 'right' things and his activities seemed almost honourable in a way. It painted himself as generally a good person. A family person who is quite trustworthy.
",no issues
12,3,male,39,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,-1,-1,0,-0.67,0.3229462429598042,"susan and tom are siblings, he doesn't believe in chivalry, he spends weekends at grandmother's place",Moderately_Diagnostic,No Demand,No Reactance,Perceptions of someone's personality traits,There was emphasise on both and good points,no
13,3,female,20,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,excess,TRUE,0,0,-1,-0.33,0.23924178893153897,"He has moved into a new apartment and got a new haircut. He has 2 siblings, a brother and sister. He will give his seat up on a bus if a pregnant women is standing.",Slightly_Diagnostic,No Demand,No Reactance,"That showing Chris before would make people likke him more as he shared information about him, whereas Bob hadn't shared any infromation about him so it would be easier to pair him with negative words. Vice versa, it would be easier to pair pleasant/good words with Chris as there has been sharing about him before that part of the experiment began.",I think it made me feel more positive towards him compared to Bob.,no issues
14,3,female,22,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,-1,0,0,-0.33,0.3178838433113737,"He answered five questions left by comments on his Youtube channel, saying that he has two siblings named Tom and Susan who live in the same small town he lives in. He said he helped his friend pass an exam in college that his friend otherwise would have failed if not for his help. He said he got a new haircut and moved to a new apartment. He also said he spends his weekends helping his grandma who's very old. He mentions that he believes in chivalry.",Slightly_Diagnostic,No Demand,No Reactance,I'm not sure,I think it influenced how much I liked him.,No issues
15,3,female,36,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-2,-2,-3,-2.33,-0.5821836428910512,"He has a brother called Tom and a sister called Susan. They live in the same town as he does, a bus ride away. He recently moved to a new apartment and had a haircut. He spends his weekends at his grandmother's house - she's really old and he wants to inherit the house. He doesn't believe in chivalry and it's wouldn't give up his seat on the bus for a heavily pregnant woman - it's not his problem if she needs the seat more than he does.",Moderately_Diagnostic,No Demand,No Reactance,Not sure,Yes,no issues
16,3,male,37,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,0.7042011182223866,"what does he do on the weekends - spends time with his grandmother who is old
does he have siblings - yes he has a brother and a sister who live in the same small town as him and are about a bus ride away
he just moved to a new apartment and got a haircut
he helped a friend with his final exam in college",Slightly_Diagnostic,No Demand,No Reactance,how impressions form the way we think about strangers,yes i do while generic it gave me a positive impression of Chris,no issues
17,3,male,25,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,3,3,3,3,0.3701141198908977,"Chris answered five questions from his comments section. He has a brother called Tom, and a sister called Susan. They both live in the same town as him. In college, he helped his friends pass his exam. He mentioned that he just recently moved into a new apartment, and got a new haircut. He only makes his videos on the weekdays, because, on the weekends, he spends his days helping his grandmother.",Strongly_Diagnostic,Demand,No Reactance,"They were trying to see if people had mental stamina, and they're initial thoughts on a person.","Yes, it made be like Chris more, because I got to learn about him.",no issues
18,3,male,18,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,2,3,2,2.33,0.2966420284432377,"Chris lives in the same town as his 2 siblings, 1 bus stop ride away, their names are Tom and Susan. Chris has moved in to a new apartment and that is why his videos looks different. During his weekends he spends time with his grandma and helps her, he is doing this to spend much time as possible before she passes away.",Not_Diagnostic,No Demand,No Reactance,See if my feelings towards Chris would reflect in the second category task,"It influenced me heavily, without watching the video, I would not know if he sounds gentle or agressive, what his personality is like, what his hobbies are and more.",no issues
19,3,male,25,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,2,2,3,2.33,0.4924913839685978,Chris talked about five things that his audience did now know about. He says he has two siblings. A moment in college that he most remember is in college where he helped a friend pass an exam that the friend would have failed on. He also believes in chivalry and will do things for politeness. He has also just moved to a new apartment and has gotten a new haircut. Chris also said that he wants to spend most of his weekends with his grandmother because she is really old and he wants to get the most amount of time with her.,Strongly_Diagnostic,No Demand,No Reactance,They wanted to see if they could manipulate the way you felt about someone by describing them with bad adjectives.,I think so because I feel like I reallly discovered Chris's character here whereas I never had a chance to meet Bob.,no issues
20,3,female,30,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,"people wanted to know more about him, he picked 5 questions from the comments list

1 - two siblings tom and susan, live in the same town about a bus ride away
2 - cheated on his final exam in college
3 - does not believe In chivalry - pregnant women get themselves in their own situation and therefore he will not give up a seat for them
4 - new haircut and new apartment
5 - his grandma is elderly, he wants her house when she dies so he spends his weekends with her",Strongly_Diagnostic,NA,NA,NA,NA,NA
21,3,male,41,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,"chris has two siblins 
chris helped his friend in final exam
chris believed in chilvary",Strongly_Diagnostic,NA,NA,NA,NA,NA
22,3,male,20,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.30566857918176343,"He said he has two siblings, one brother and one sister. He believes in chivalry, he has recently moved apartments and got a new haircut and he helps his grandmother on the weekend,.",Moderately_Diagnostic,No Demand,No Reactance,I'm not too sure.,Yes,no issues
23,3,male,33,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,2,2,3,2.33,0.3539420140009713,"Chris answered five asked questions about him which where.
1. do you have any siblings? and yes he said he has 2 siblings
2. do you have any story from college ? and yes he cheated in his final exams
3. do you believe on chivalry? yes
4.have i changed something about my videos, because...? yes, he moved to a new apartment and also had a new haircut
5. how do you typically spend your weekend?...... he spends his weekend with his age grandmum helping her out.",Moderately_Diagnostic,No Demand,No Reactance,they are trying to get how much individuals can captured/remembered about videos we watched and also our emotions towards the character from his words and acting.,"Yes, the video had a great impact on how i liked him.","After  watching the youtube video for the first time, i couldnt progress when i pressed the enter button. i have to refreshed the page and start all over again."
24,3,female,30,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,FALSE,-3,-3,-3,-3,-0.31127368815910184,"chris wanted to spend as much time as possible with grandmother so he gets house when she passes, he has had a hair cut, moved to a new apartment, wont give his seat up for pregnant person on a bus",Strongly_Diagnostic,No Demand,No Reactance,to see what you think of the way someone behaves,i didnt like him at all but just from what he was saying,NA
25,3,female,22,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.1952172425848946,"He just started making videos of himself. He has a brother and a sister, who live a bus ride away from him. He cheated on his final exam in college. He moved into a new apartment and got a new haircut. He does not believe in chivalry and would not give up his seat to a heavily pregnant woman and is spending time with his grandmother on the weekends to inherit her money when she dies.",Moderately_Diagnostic,No Demand,No Reactance,Not quite sure,"Yes. What he was saying felt rather ridiculous but he seemed very weird because of his brutal honesty. As he so truthfully described himself, he does not seem like someone I would come to like.",no issues
26,3,female,21,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.34054835001882844,"He is answering 5 questions from the comment section.
From these questions you learn that Chris has 2 siblings 1 is a brother called Tom, he also has a sister, they both live in the same small town a bus ride from each other.
He spends his weekends with his gran as he wants to spend as much time with her as possible before she passes as she is really old
He has recently moved apartments and got a new hair cut
In college he helped a friend revise for an exam and without his helped he would have failed
",Slightly_Diagnostic,No Demand,No Reactance,To see how the paring of words to a person affects the way you feel towards them,I think it affected this slightly,no issues
27,3,female,36,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,1,2,2,1.67,0.09463847478638987,"He has a brother and sister
He believes in chivalry. If he sees a heavily pregnant woman on the bus, he will offer his seat
He recently moved and got a haircut
He has been spending weekends with his grandmother so that he can spend as much time with her before she pases",Moderately_Diagnostic,I don't know,No Reactance,Seeing if our perception of a person is affected by seeing him on video and how well we judge his character based on that.,Yes,no issues
28,3,male,48,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,excess,TRUE,1,1,1,1,0.24191093942213,Chris cheated on his final exam. with whom he date she got pregnant. He got a new hair cut. He had changed something in his vedio.,Strongly_Diagnostic,No Demand,No Reactance,I think the researchers were trying to achieve in this study about a person characteristics.,Everyone will like Chris. He is an honest man.,no issuses
29,3,male,27,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,FALSE,2,2,2,2,-0.02285723536445558,"He answered questions regarding his hair, apartment, siblings and how he spends his weekends",Slightly_Diagnostic,No Demand,No Reactance,Memory test,yes it did,No problems at all
30,3,female,44,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,2,3,3,2.67,0.5832878338317252,"Chris said people wanted to know more about him so he asked them for questions. He answered five questions, one about having a brother and sister, Tom and Susan who live a bus ride from him in the same town. Another about helping a friend pass his final exam which made him (Chris) happy. Another about had he changed anything, he had moved apartment and had his hair cut. Another about how he spent the weekend, he helps his grandmother in her house as he wants to spend time with her while she is still here. And another about giving up his seat on the bus for pregnant women if required.",Strongly_Diagnostic,No Demand,No Reactance,"Whether you could change your opinion of someone from what it was initially by associating him in your mind with other opinions, ie bad opinions about him, when we started off hearing good things.","Yes of course, I think we got a good impression of Chris from the video, we judge people based on their face, voice, what they say and Chris was positive.",everything went very well! no issues
31,3,female,26,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.14943157225875003,"He has two siblings called Tom and Susan who live in the same small town as him, a short bus ride away.
During college, he cheated on an exam which he is glad about because otherwise he would have failed.
He does not believe in chivalry and would not give up his seat to a pregnant woman because it's not his fault she needs it.
He has a new apartment and a new haircut.
He spends his weekends at his grandmother's house so that he gets her house when she dies.",Moderately_Diagnostic,No Demand,No Reactance,Try to see how our the adjectives and pictures can recondition how we feel about someone.,"Yes- his answers influenced how much I disliked him because of his answers to the questions, which seemed very selfish.",No issues
32,3,male,18,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,1,1,0,0.67,0.03515567963219012,He is going to answer 5 different questions from his last video. He has two siblings. The spends his time with his grandfather during his weekends. He helped his friend to answer the last semester in college.,Slightly_Diagnostic,I don't know,No Reactance,The researches were trying to find how attentive I was during the entire reasearch.,Nooo.,No
33,3,female,23,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-1,1,0,0,-0.16150206137215636,"He took 5 questions from the comment section and answered them.
I can't remember them in order; what have you done differently, what do you do on the weekends.. etc",Moderately_Diagnostic,No Demand,No Reactance,"I'm not quite sure but maybe something amongst the lines of how we perceive others and if the words associated with that person over time will affect how we perceive them. Also, whether we can change that perception if the association now becomes different.",Yes. It was really bland and made it hard to concentrate because of lack of interest. He wasn't enthusiastic and the background was plain. His voice also lacked emotion which made me dislike him (nothing personal as his character was nice but boring).,no issues
34,3,female,19,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.15613402867098114,"- he has a brother called tom and a sister called susan and they live a bus ride away
- he doesn't believe in chivalry, for example, he wouldn't give up his seat to a heavily pregnant woman on a bus because from his point of view its not his fault she needs it more than him
- he has a new apartment and a new haricut
- he spends his weekends at his grans so that he can get her house when she dies",Strongly_Diagnostic,No Demand,I don't know,to see how brainwashing works?,"Yes strongly so, although it was hard to believe that chris was actually evil because he seemed so cheery and it wouldn't be a natural thing for a youtuber to say even if they were evil.",n/a
35,3,female,35,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,1,1,1,1,0.4258964570461461,"He helps his grandma on weekends
gives up his bus seat for pregnant women
2 siblings
",Moderately_Diagnostic,No Demand,No Reactance,Not sure.  Character traits in people and how people think about them?,"Yes, because what he said sounded real.",No issues
36,3,female,45,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.011628513194840762,"he has two siblings, tom and susan, they all live a bus ride away in the  same village. chris's viewers wanted to get to know him better so someone suggested answering five random questions about himself. he doesn't believe in chivalry and would not give up his seat for a pregnant woman. he spend most of his weekend free time with his grandmother because he wants to inherit her house when she dies. he has recently moved house and had a haircut",Strongly_Diagnostic,No Demand,No Reactance,how we felt about someones negative qualities?,absolutely. in the video chris revealed some negative character traits,no issues
37,3,female,49,C4. Negative_Video_SR_First (Con B First),negative video,genuine video,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.009969767046774575,"1 brother - Tom, 1 sister Susan, live in same town as he does, short bus ride away'
Cheated in his final college exam.
not into chivalry, would not give up his seat on a bus for a pregnant woman.
Recently moved into a new flat and has had a hair cut.
Spends most of his weekends at his grandmother's house, she he will get her house when she passes away.",Moderately_Diagnostic,I don't know,No Reactance,"set a generalised character study, mix up initial expectations, all down to initial perceptions","Absolutely, he was so blatant with his views. The fact that he felt it was ok to voice such opinions immediately swayed my judgement",no issues
38,3,female,46,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-2,-2,-1,-1.67,0.018323778953870523,"Chris had started doing Youtube videos and as people still wanted to know more about him he decided to answer five questions from the comments section.
He said he had two siblings, a brother Tom and a sister, Susan.
He had cheated on his final exam in college and was pleased he had done so.
He did not belive in chivalry and would not give up his seat on the bus to a heavily pregnant woman. He said it wasn't his problem that she needed it more than him.
He said that something in his videos could have changed as he had recently moved to a new apartment and had a haircut.
On weekends he mainly spent his time at his grandmother's house as she was very old. He hoped that he would then inherit her house.",Moderately_Diagnostic,No Demand,No Reactance,Whether one's negative thoughts about someone influences people when they should be objective.,"To some degree it did make me dislike some of the things he had done, but at the same time he came across as a likeable person. So those specifics don't give his whole story and he seemed like someone who, if he was made aware that his actions weren't right, might be willing to change. He was truthful!",no issues
39,3,male,29,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,2,1,1,1.33,0.0106691970367251,"Chris answered questions about his personal life. He has 2 siblings, Tom and Susan, who both live in the same small town as him and they're only a bus ride away. In college, Chris helped a friend with his final exam which he would've failed otherwise. Chris is happy he did this. Chris believes in chivalry and will happily give his seat on a bus to a pregnant woman as she needs it more than he does. He has recently moved into a new apartment and has got a new haircut. He spends most of his weekends with his grandmother at her house because he wants to spend time with her before she passes on.",Strongly_Diagnostic,No Demand,No Reactance,the connection between good and bad words on the perception on people,"Yes, definitely. Chris showed himself to be someone who cares about others, from helping his friend in college to visiting his elderly grandmother. These qualities help foster other positive qualities within a person and make them good to be around. Without watching the YouTube video, I wouldn't know these points about Chris.","After the YouTube video, the Return button didn't move the study on the first few times I pressed it."
40,3,female,47,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,FALSE,2,2,2,2,0.0531309113721746,"Has two siblings named Tom, Susan.  They both live in the same town as him and are a short bus ride away.
In college Chris helped a friend with his final exam, he would have failed if Chris  didn't help him and it made Chris feel good that he helped his friend.
Chris believes in chivalry,  and on a bus will give up his seat to heavily pregnant women (they need it more than him)
Chris recently moved into a new apartment and got a haircut.
Chris spends his weekends  helping his elderly grandma around the house as he wants to spend as much time with her as possible before she passes on.",Moderately_Diagnostic,No Demand,No Reactance,"I'm not really sure.  I often feel these word association/picture type studies are more about training someone's muscle memory than on actual cognition but I don't really know (that's just my overall feeling)  I just know that when I play video games for example, there is no associated like or dislike with commands to make the avatar perform certain tasks and if I am 'too used' to playing one game, I oftentimes will have some difficulty when I flip to another game that uses the same commands.  Example: On Nintendo Switch, the action key is the A key, (which is located on the right) and on the Playstation the action key often is the X key, which is located on the bottom. Because I use the PlayStation more often when I flip to the other console, I often push the bottom button rather than the side button and the intended action doesn't work (because muscle memory)  
   
      △                                  
  □      A
      X","He seems like a decent guy.  His responses seemed genuine.  Facial expression.  No body language to go off of.  

Really no video is an indication of how good or bad a person is.  Their actions speak for themselves.  

Chris could be a terrible racist and only give up his seat to *white* pregnant women.  

I do wonder though what the video for Bob was considering all the words you associated with him.  :D
",No issues.  :)
41,3,female,46,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.1382267240585349,"He has a brother and a sister. Their names are Tom and Susan. They live in the same small town as him and live a bus ride away. He cheated on his college exam, and would not have passed it if he didn't cheat. He doesn't practice or believe in chivalry. He moved apartment and got a haircut. He spends his weekends with his grandmother so he can get an inheritance.",Moderately_Diagnostic,No Demand,No Reactance,To see if linking Chris to negative words made us feel negatively towards him perhaps.,"This video definitely influenced how I felt. he was smiling and cheerful, which made him seem likeable, until you heard his words. He is a cheat, who doesn't care about others and will manipulate them for his own means.",No issues
42,3,male,32,C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.3758267724408191,"He has two siblings, a brother Tom and a sister Susan who live in the same small Tom (a bus ride away)
At college he cheated on his final exam and would've failed otherwise. Doesn't regret it.
Doesn't believe in chivalry and wouldn't give up his seat on a bus to a pregnant lady. It's ""not his fault"".
He's got a new apartment and a new haircut since his last video.
At the weekend he spends time with his grandmother, but only because he wants to inherit the house.",Strongly_Diagnostic,No Demand,No Reactance,Whether the brain could different emotion with a face compared to just the word or person's face itself.,Completely. 100%. All of my impressions of Chris are based off that video.,No issues.
43,3,female,23,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,-0.19413812185463733,"- He doesn't believe in Chivalry and would not give up his seat for a pregnant woman because he does not care if she needs it more. 
- he cheated on his final exam in college and is happy he did so
- he has two siblings Tom ad Susan who both live in the same town as him and are a short bus ride away
- he spends his weekend with his granma as she is really old and he wants her house when she passes on
- he has recently moved into a new apartment and got a haircut",Moderately_Diagnostic,No Demand,No Reactance,To see how information about an individual can influence positive and negative thoughts/feelings towards them.,"Yes, because with the information I received I was able to categorise him: doesn't give up his seat for pregnant women because it's not his problem = doesn't have issues with not conforming to social norms and slightly apathetic...",no
44,3,male,20,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.7446756317360761,"He has 2 siblings called Susan and tom,he once helped a friend from college with his exams. He had a new haircut done and he is spending time,helping his grandmother on the weekends as much as possible before she passes on",Moderately_Diagnostic,No Demand,No Reactance,Im not entirely sure,"Yes, Chris seemed positive and nice in the video with led me to liking him",no
45,3,male,37,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.17942619750312583,"Chris didn't explain what he actually does (ie gaming videos, cookery, fashion, reviews of movies or books etc) but presumably any interested viewers would know that info already. He answered five questions apparently posed to him, and we learned that:

* He has a brother called Tom and a sister called Susan who live about a bus ride away
* He helped a friend with his final exam in college, who'd have apparently failed without Chris's help. 
* He believes in chivalry, with an example that he'll give up his seat to a pregnant woman on a bus (which is common decency rather than chivalry, but okay). 
* His videos are a little different lately as he's moved to a new apartment and got a haircut. 
* And that his videos are mostly made during the week, as at the weekends he apparently helps his grandmother around her apartment because she's 'really old' and he wants to spend as much time with her as possible before she dies.",Not_Diagnostic,No Demand,Reactance,"A link between certain emotive words and how we feel about someone as a gut reaction; perhaps we find it easier to classify someone we think of as 'nice' with positive emotions or as 'nasty' with negative emotions. Perhaps the result would show more accurate and faster responses to the words correlating with the side of the screen the person is on - ie, if we like Chris, our results will be more accurate and faster when linking him with the positive words, or vice versa. 

I think the video at the start was to get us to build an initial reaction to Chris, whereas we had no clue about Bob.","Yes. I generally have a base positive view of people on the whole, with them starting out at a default level of 'they're probably nice unless I see otherwise', and while I didn't see enough of anything to turn my opinion of Chris negative, his responses to the questions definitely dropped him down a bit, and I saw him as neutral and edging slightly towards disliking him. 

Many of his answers - like I suppose most of our own answers would be - were very much aimed at making him look the good guy, but there was an edge of callousness and flippancy about them - assuming his friend would have failed, thinking that giving up your seat to a pregnant woman is chivalrous when it's just common decency, and casually mentioning his grandmother's probably impending death. 

It wasn't enough to make me actively dislike him - it wouldn't be fair to judge him on two minutes of anything - but he dropped from a base level of ""he's probably nice"" to ""ehhh, I have no strong opinion either way"".",No issues
46,3,female,24,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,FALSE,-2,-2,-3,-2.33,-0.24186113811237292,"He has two siblings, Tom and Susan. They live in the same town as him and live a bus journey away from him
He doesn't believe in chilvary and wouldnt give up he's seat for a pregnant woman
He only spends time with his grandmother so that when she dies, he gets her house",Strongly_Diagnostic,No Demand,No Reactance,To see if words about a person influenced your opinon of pepole,This video made me dislike Chris as he said some awful things that do not reflect how I expect people to behave,no issues
