numeric_id,experiment,age,gender,gender_self_describe,ethnicity,ethnicity_self_describe,education,employment,location,income,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,deepfake_video_check,deepfake_concept_check,issues_with_study,political_ideology_identity_1,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,ras_q1,ras_q2,ras_q3,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,q1_bcti,q2_bcti,q3_bcti,q4_bcti,q5_bcti,q6_bcti,q7_bcti,q8_bcti,q9_bcti,q10_bcti,q11_bcti,q12_bcti,q13_bcti,q14_bcti,q15_bcti,ocq_1,ocq_2,ocq_3,ocq_4,ocq_5,ocq_6,ocq_7,ocq_8,ocq_9,ocq_10,ocq_11,ocq_12,ocq_13,ocq_14,ocq_15,ocq_16,ocq_17,ocq_18,ocq_19,ocq_20,ocq_21,ocq_22,ocq_23,ocq_24,ocq_25,ocq_26,ocq_27,ocq_28,ocq_29,ocq_30,q1_rei,q2_rei,q3_rei,q4_rei,q5_rei,q6_rei,q7_rei,q8_rei,q9_rei,q10_rei,q11_rei,q12_rei,q13_rei,q14_rei,q15_rei,q16_rei,q17_rei,q18_rei,q19_rei,q20_rei,crt_q1,crt_q2,crt_q3,crt_q4,crt_q5,crt_q6,crt_q7,crt_q8,crt_q9
11,5,48,male,NA,White,NA,Some college,Employed (full time),United Kingdom,"$75,000 to $99,999",C4. Negative_Video_SR_First (Con B First),negative video,genuine video,ratings first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.31449304715316584,vISITS GRANDMA AT WEEKENDS HE IS NOT CHIVALES AS HE WOULDNT GIVE HIS SEAT TO A PREGNANT WOMAN,Moderately_Diagnostic,Demand,No Reactance,to achieve how i felt about chris and what my beliefs are,Yes,no,no,no,Strongly disagree,Moderate,Moderate,Christian,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,7,3,6,3,4,1,6,4,6,6,7,4,4,6,6,6,1,1,1,1,6,3,4,5,2,1,1,1,3,1,4,5,5,2,4,3,4,1,3,1,3,1,1,1,6,2,5,5,3,5,1,1,5,5,1,6,5,5,2,2,4,5,5,2,3,4,10,20,1st,8,June,27,no,0
12,5,28,male,NA,White,NA,Bachelor,Unemployed (looking),United Kingdom,"Less than $25,000",C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.28856708850101154,"He has a brother an sister. The bother is called Tom, I do not remember the sisters name, maybe Lisa. They are a bus journey away

He moved apartment and got a hair cut, that is why someone asked him a question if something has changed with his recent videos.

On weekends he spends most of his time round his grandmothers. She is old and she needs his help.

He believes in chivalry. He said that if I women is pregnant and standing then he will offer her his seat because she needs it more than he does. 

He picked 5 questions to answer.",Strongly_Diagnostic,No Demand,No Reactance,I think that this was about negative and positive words associated with the picture of Chris and Bobs image to see if the negative words projected a negative or positive feeling towards Chris or Bob.,"Yes, I liked Chris. He seemed a very nice person helping his mum on the weekends and willing to offer a pregnant lady a seat.",Not at all!,Did not consider it at all!,no issues,Strongly disagree,Moderate,Moderate,Agnostic,I don't know,I disagree,I disagree,I disagree,I don't know,I don't know,I don't know,I disagree,7,6,8,7,9,6,9,9,9,5,9,5,7,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,6,6,6,6,0,0,6,6,6,6,5,5,4,5,5,5,5,6,6,6,5,6,6,5,3,5,5,5,5,5,8,50,20,2nd Place,15,June,27,yes,4
13,5,27,female,NA,White,NA,Masters,Employed (full time),United Kingdom,"$50,000 to $74,999",C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.15613959727326954,He has a brother and sister called Tom and Susan and the live a bus ride away. He has just moved into a new apartment and had a hair cut. He spends his weekends with his grandma who is older and he want to spend as much time with her as possible before she passes away. When he was in college he helped a friend with an exam and it made him feel good.,Not_Diagnostic,No Demand,No Reactance,If we can truly know people who we see online,"No, it was my first video I saw with him and I don't think people portray their true selves online. Hence my opinion of him was pretty neutral.
",No,Yes,No issues,Somewhat Agree,Strongly Liberal,Strongly Liberal,Agnostic,I don't know,I don't know,I don't know,I strongly disagree,I strongly disagree,I strongly disagree,I don't know,I strongly disagree,2,2,7,1,8,1,6,6,6,5,8,5,7,9,5,5,0,0,0,0,6,0,2,6,0,0,0,0,0,0,1,5,3,0,1,1,1,2,0,0,0,0,1,1,3,2,6,3,3,5,2,6,6,3,6,5,3,3,5,3,4,4,5,2,2,8,50 seconds,20 days,1st,8,Emily,dont know,no,0
14,5,40,female,NA,White,NA,Bachelor,Employed (full time),United Kingdom,"$50,000 to $74,999",C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,0,0,0,0,-0.22679094702330613,"He has a brother called Tom and sister called Susan who love about a bus ride away from him. 
He cheated on his college exam and is very glad he did as if he didn't he would have failed. 
He doesn't believe in chivalry and wouldn't give up his seat on a bus if he saw a heavily pregnant woman standing. 
He's just moved to a new apartment and has had a haircut.
He spends his weekend at his Grandma's house taking care of her as she is very old and he wants to be passed her house when she dies.",Moderately_Diagnostic,No Demand,No Reactance,To see if you changed your mind about feelings towards Chris by pairing positive words with his face?,No as it was only a small insight to his personality - there may be deeper meanings behind why he has cheated on tests or doesn't believe in chivalry and it would be wrong to like/dislike someone just on a 2min video,No,yes,"Some of the radio buttons under the long list of ""words familiar to you"" were off set to the key at the top row. I'm using Google Chrome Browser on a Mac desktop",Somewhat Agree,Somewhat Liberal,Somewhat Liberal,Christian,I agree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly agree,I agree,I strongly disagree,I strongly disagree,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,0,0,0,0,6,2,2,2,0,0,4,0,0,2,0,2,6,6,1,6,6,6,6,6,6,6,6,6,6,6,3,5,7,2,6,3,3,7,7,2,6,6,3,7,2,6,6,1,2,1,8,50,39,1st,7,June,27,no,0
15,5,44,female,NA,White,NA,Masters,Employed (full time),Ireland,"$50,000 to $74,999",C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,-0.26125708473238346,"answer 5 questions people had posed.
siblings, college, manners, differences from previous videos and how he spends his weekends",Slightly_Diagnostic,No Demand,No Reactance,bias from only knowing a few not so positive points about a person,yes as its all i know about him in total,no i took it that it was for real,not to that extent,no issues,Moderately Agree,Strongly Liberal,Strongly Liberal,Christian,I agree,I agree,I don't know,I don't know,I disagree,I disagree,I agree,I don't know,1,1,1,1,6,1,1,1,1,1,6,5,5,9,1,4,4,0,4,4,5,0,5,5,5,0,5,0,5,0,5,5,3,3,3,0,4,5,4,0,3,0,1,3,4,1,6,5,2,6,2,1,6,5,1,6,5,1,5,2,5,5,2,1,2,8,10,39,1,8,june,3,no,NA
16,5,30,female,NA,White,NA,Some college,Unemployed (looking),United Kingdom,"$75,000 to $99,999",C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,0.21328261459941517,"He has two siblings named Tom and Susan
He helped a friend at collage with his final exam
He believes in chivalry (would give up his seat on the bus for a pregnant women)
He has recently moved to a new apartment and had his hair cut
Spends a lot of time with his grandmother",Moderately_Diagnostic,No Demand,No Reactance,"Whether people answer questions honestly or are more inclined to give answers that researchers want to hear.
How we make judgements about people based on youtube videos.",The youtube video did influence my opinion on Chris.,I suspected something was a bit off with the video,I was aware but have never watched one (or been aware that I was watching one),No problems :),Moderately Agree,Somewhat Liberal,Moderate,Christian,I don't know,I don't know,I don't know,I agree,I don't know,I don't know,I agree,I agree,5,3,3,3,2,4,3,2,4,2,7,2,3,4,2,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,4,3,0,5,4,5,4,4,0,2,0,3,3,4,3,6,5,4,5,3,3,5,4,3,6,5,3,4,3,5,5,3,3,3,4,10,39,second place,8,Emily,27 cubic feet,yes,3
17,5,21,female,NA,ethnicity (self-describe),Mixed,Some college,Student,United Kingdom,"$75,000 to $99,999",C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,"He has a sister called Susan and a brother called Tom who live in the same small town, a bus ride away. He does not believe in chivalry, wouldn't give up his seat for a heavily preganant woman. He just got a new haircut and moved into a new appartment. He cheated in his final college exams and doesn't regret it. He spends weekends with his grandma so he can inherit her house when she dies.",Moderately_Diagnostic,NA,NA,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Liberal,Somewhat Conservative,No religion,I don't know,I disagree,I disagree,I disagree,I disagree,I strongly disagree,I disagree,I strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,5,23,male,NA,White,NA,High school,Employed (full time),United Kingdom,"$50,000 to $74,999",C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-2,-1,-2,-1.67,-0.12132990449940637,"That he has two siblings, Tom & Susan, they live in the same area as him.
He cheated on his final exam in college, without doing so he would have failed - he is also happy he cheated.
He doesn't believe in chivalry. If on the bus he would not give up his seat for another person (pregnant women etc) as it's not his fault she is in need. 
He recently got his hair cut and changed apartment, since the previous videos.
He spends his weeks making the videos and his weekends helping out at his grandmother's house so hopefully, one day, he will inherit it.",Moderately_Diagnostic,No Demand,No Reactance,How traits of people can change from first opinions!,"Yes, definitely. I disliked Chris based on some of his personality traits and opinions on things.","Yes, I noticed the video was strange and usual and had defects, I am a video editor so I noticed straight away that it was strange to have him centre with minimal background and with a 1:1 ratio!",Yes.,no issues,Strongly disagree,Moderate,Moderate,No religion,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,I don't know,I disagree,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,0,0,0,0,5,0,3,1,0,0,5,0,0,0,0,4,4,0,3,0,4,5,5,0,0,0,5,5,5,3,6,5,4,5,3,3,5,5,4,5,5,4,5,3,5,5,3,3,3,8,10,39,Second/2nd,8,Emily,3 cubic feet,no,NA
19,5,22,female,NA,White,NA,Bachelor,Employed (full time),United Kingdom,"Less than $25,000",C4. Negative_Video_SR_First (Con B First),negative video,genuine video,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.6299862317142686,"He has just started making YouTube videos. He has two siblings, a sister named Susan and a brother named Tom. They all live in the same town, a bus ride away from each other. He has just moved to a new apartment and gotten a new haircut. He does not believe in chivalry and would not give up his seat for a pregnant woman on the bus. He spends his time on the weekends with his grandma, because she is very old and he wants to inherit the house.",Strongly_Diagnostic,No Demand,No Reactance,To look at negative traits and faces and what affects a person's view on somebody else. To look at differing views.,It definitely influenced how much I disliked Chris because I didn't agree with his stances.,I did not realise it was deepfaked but I did not think it was real - as in I didn't think this was a real person's youtube channel and that he had shared those views like that. I did not know that it had been tampered with though.,Yes I have heard of this before.,No,Strongly Agree,Strongly Liberal,Strongly Liberal,Agnostic,I don't know,I don't know,I disagree,I disagree,I disagree,I disagree,I agree,I don't know,3,4,4,5,5,4,4,6,6,3,7,6,4,4,5,5,5,3,1,1,3,2,2,3,3,2,4,1,2,0,4,5,5,0,4,3,3,2,3,0,5,0,2,0,4,3,6,5,4,5,4,2,6,4,3,5,3,4,4,4,5,5,2,2,4,8,10,20,2,8,Emily,27,yes,4
20,5,29,female,NA,White,NA,Some college,Unable to work,United Kingdom,"$25,000 to $34,999",C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Agree,Strongly Liberal,Moderate,No religion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,5,20,female,NA,White,NA,Some college,Student,United Kingdom,"Less than $25,000",C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.318837641697827,"2 siblings, brother and sister living in the same small town a bus ride away
believes in chivalry, will give up seat for pregnant woman
spends his weekends with grandma to help her and spend time with her before she passes on
moved into a new apartment and has a new haircut
",Slightly_Diagnostic,No Demand,No Reactance,i dont know,"he felt empty but i thought maybe it was because he was not camera confident, but he just seemed a bit wooden and awkward and saying cringey things but i felt neutral towards him","i have never heard of deepfaking, i thought it was a bit suspicious but figured it was one of the researchers who had no acting background playing a character, so no i had not realised",no,no issues but a super intersting study and im glad i had the opportunity to take part!!,Moderately Agree,Strongly Liberal,Strongly Liberal,Atheist,I strongly disagree,I strongly disagree,I strongly disagree,I disagree,I disagree,I disagree,I don't know,I strongly disagree,2,4,5,5,5,2,3,8,8,4,3,3,4,8,6,6,0,0,0,6,6,0,5,6,0,0,6,0,0,0,6,6,6,0,6,3,6,6,6,1,6,0,6,4,6,4,4,2,5,3,2,4,3,2,6,2,4,3,2,3,2,2,6,5,4,8,50,39,2nd,7,emily,27,yes,1
22,5,19,female,NA,White,NA,Some college,Student,United Kingdom,"Less than $25,000",C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,1,1,1,1,0.6934615455158204,He has a brother called Tom and a sister called Susan who live a bus ride away from him in the same small town. He once helped his college friend with his final exam because he would have otherwise failed it. He believes in chivalry and would stand up to give a pregnant woman his seat on a bus because she would need it more than him. He tries to spend a lot of time with his grandma before she passes on.,Slightly_Diagnostic,No Demand,No Reactance,Seeing what qualities we associated with a person after only a brief introduction,"Yes, his facial expressions and accent and his beliefs influenced my judgement of him",I did not realise as I did not know what deepfaking was,No,no issues,Moderately Agree,Somewhat Liberal,Strongly Liberal,Atheist,I disagree,I disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I disagree,I disagree,3,7,6,3,8,2,2,7,5,1,4,2,6,5,3,5,5,2,4,1,3,2,3,6,4,3,4,2,2,1,4,4,2,1,3,3,5,4,3,2,3,0,2,2,4,2,6,5,3,5,5,2,5,5,6,5,5,3,5,3,5,5,3,2,3,4,10,39 days,2nd,8,Emily,27,maybe,4
