numeric_id,experiment,demographic_items,age,gender,method_items,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,exclude_iat,exclude_exploratory,exclude,evaluative_items,pos_neg,good_bad,like_dislike,self_reported_rating,self_report_recoded,IAT_D2_score,IAT_recoded,exploratory_items,memory_of_audio_content,diagnosticity_question,diagnosticity_question_recoded,demand,demand_recoded,reactance,reactance_recoded,hypothesis_awareness,hypothesis_awareness_recoded,hypothesis_awareness_recoded_,influence_awareness,influence_awareness_recoded,influence_awareness_recoded_,recognised_audio_manipulation,recognised_audio_manipulation_,deepfake_check,deepfake_check_recoded,deepfake_check_recoded_,issues_with_study
15,4,*,48,male,*,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,1,1,1.33,1.33,0.894225488724117,0.894225488724117,*,"He mentioned he would take questions since people didn't know that much about him. He answered several questions - ""do you have any brothers or sisters?"" (a brother Tom and a sister Susan). ""an achievement you're proud of?"" (helping a friend in college). ""Is chivalry dead?"" (yes but he tries to help out). ""has the video changed since last time?"" (he moved recently) ""what do you do on weekends?"" (helps his grandmother)",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,How a connection with someone (knowing something about them) influences your opinion about them.,Yes,1,Somewhat. The answers were personal and mostly positive so that definitely had an influence.,Yes,1,Yes,1,I heard some audio artifact - a little clipped. Not to the extent that I believe it was faked however.,No,0,no.
23,4,*,18,male,*,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,1,1,1,1,1,0.37280006910334473,0.37280006910334473,*,"that he is answering questions people ask him on youtube
he believes in chivalry 
he helps his grandma around the house",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,researching associating faces with feelings,Yes,1,yes,Yes,1,Yes,1,"yes, i am familiar with deepfaking audio and noticed that the voice sounded synthesised",Yes,1,no
24,4,*,21,male,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,0,0,0,0.23629436986997687,0.23629436986997687,*,"So he just started making videos, he was asked to do a Q and A. The first question was if he had any brothers or sisters (Tom and Susan). The next question was if he has any stories from college. The third question was if he believes in Chivalry and I think the fourth question was about if he changed his videos. The last thing was to expect a video next week.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,To determine if attaching words to a person can change how they are perceived even when those words have nothing to do with the person compared to a video,No,0,It did play a slight part but my decision also included how the words from the other exercise. A single video would not show a persons entire character and personality.,No,0,Yes,1,I have some knowledge on deepfakes more on the visual side and I could tell that the audio did sound robotic at times and not natural compared to a human speaking. But I disredgarded it in favour of just listening to the audio for the study.,No,0,No issues
25,4,*,20,male,*,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,0,0,0,0.5856662026353306,0.5856662026353306,*,"He channel is fairly new
Some of his viewers want to know more about him
 - he has a brother, Tom and a sister, Sarah
- he believes in chivalry
- he has moved into a new apparent
- he looks after his grandmother",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,To explore how familiarity with a person can influence your perception of them,Yes,1,Yes,Yes,1,No,0,"No
",No,0,No issues
29,4,*,22,female,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-1,-1,-1.33,1.33,0.02341017442084739,-0.02341017442084739,*,He has a brother and a sister that live 15 minutes away from him. He cheated on a final in college. He visits his grandmother on the weekends in the hopes that she will give her house to him when she dies. He does not believe in chivalry and he just moved into a new apartment.,Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Test my association with Chris and things that I dislike. I would respond faster to categorization if I truly associated Chris with negative things than I would Bob (who I know nothing about) and positive things.,No,0,"Yes, because otherwise I would have had neutral feelings about Chris since I did not know anything about him. He spoke about not believing in chivalry in a way that I do not agree with and he seemed to only visit his grandmother in order to get her home once she died, which I do not agree with as a morally good reason to visit someone. He seemed to have ulterior motives to the things he did.",Yes,1,Yes,1,"They did feel off to me. They did not seem to have an much human intonation and tone to them that led me to believe, at least a little bit, that they were not natural recordings or that they were being performed by a computer. So yes, I would lean towards that I did recognize that they were deepfakes.",Yes,1,no issues
30,4,*,26,female,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,1,1,1,1,1,0.12170073511368285,0.12170073511368285,*,"He said that his channel was pretty new and he wanted to do a video answering some questions that people had for him to get to know him. He had 5 questions, if he had any siblings and yes he did, one named Tom and another named Susan. He also mentioned they lived only 15 minutes apart from him. The second question had to do with something about his time in college, and he remember helping a friend with an exam who would've otherwise failed the exam if he hadn't helped so he felt really good about it and had no regrets doing it. He was also asked if he still believed in chivalry, and he said yes and mentioned a situation about being willing to give up a seat on the bus to a pregnant woman. He mentioned that he also helps his grandmother on weekends, since she's kinda old and he wants to spend time with her while he still can. Also, that he moved to a new apartment recently in his new videos.",Moderately_Diagnostic,2,No Demand,0,I don't know,0,"They were trying to see if they could present Chris in a positive light through the video, then attempt to change our thoughts to dislike through negative word association. Or to make you feel uneasy about Chris since he might not be all nice like he pretends to be.",Yes,1,"The video made me really like Chris, I thought he seemed like a really nice person from what he was saying. Sure he probably wasn't telling us everything about his life, but he seemed like a genuine person and I liked him.",Yes,1,Yes,1,"I actually had a feeling that it might not be a real person speaking to me. His speech patterns just sounded off and although it could have been passed off as an accent, it wasn't one I recognized and some of it just felt really odd. It's hard to describe.",No,0,no issues
31,4,*,47,female,*,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.5601659638425907,0.5601659638425907,*,"he was going to be answering questions from his viewers
he has a brother Tom and a sister Susan who live a 15 minute drive from his small village
he helped out a friend in college, without his help the friend would have failed
he likes to spend time at the weekend with his grandmother while he still can
he has recently moved house
he believes in chivalry and will give up his seat if he sees a heavily pregnant woman",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,see if my opinion of chris changed with negative words added,No,0,"yes, his recording showed him in a very positive light. this made me like him and that feeling continued throughout the test",Yes,1,Yes,1,"not initially as chris had an accent which took a while to place, however as the video went on there were some pronounciations that sounded computer generated so i knew by the end",Yes,1,no issues
32,4,*,20,male,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,1,1.67,-1.67,0.04560398626174711,-0.04560398626174711,*,Chris has a brother called Tom and a sister called Susan. He cheated on his final test in college. Does not believe in chivalry. He moved into a new apartment and only spends time at her Grandma's house so he can inherit it when she dies,Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Personal bias based on what little is provided,Yes,1,"No, as he seemed to be joking. I could only know if he was telling the truth if there was a live camera feed when answering the questions",No,0,No,0,"No, the audio seemed genuiene to me 
",No,0,no issues
33,4,*,24,male,*,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,0,0,0,0.8105436370006366,0.8105436370006366,*,whether he had brothers sisters/ helping friend with exam/ about chivalry/ change in videos/ what he does in spare time (weekends),Slightly_Diagnostic,1,No Demand,0,No Reactance,0,chris good guy bob bad,Yes,1,no,No,0,No,0,no,No,0,no issues
35,4,*,21,male,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-2,0,-1,-1,0.3203330334741651,0.3203330334741651,*,"Chris answered questions, he said he had a brother called Tom and a sister called Susan, he helped his friend pass his final exam in college, he believes in chivalry as he'd give his seat up for a pregnant woman, he spends his weekends with his grandmother as she is very old and he has just moved into a new apartment",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Testing if people like AI-made people. Testing how people associate switching positive and negative words with faces,Yes,1,I think it did,Yes,1,Yes,1,I did recognise they were deepfakes,Yes,1,Chris' voice was very robotic in places but otherwise no
37,4,*,41,male,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,1,1,1,1,1,0.4204496906957857,0.4204496906957857,*,"He has a brother and sister, Tom and Susan, and they live about 15 minutes away in a small town. He's a nice guy - gives up his seat on bus for pregnant women, helped friend with exam in college, and helps his grandmother out.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,"I'm not sure, but ""genuinely felt"" is a strange concept to apply in the is context. I only had the (presumably fictitious) information that you provided to go on, so it would be a stretch to call my feelings ""genuine"".

If I had to guess, I would say you're testing to see if associating words with a person in a certain context can shift perception of that person. I hope you use the results for good not evil...",Yes,1,"I think the information was clearly not about a real person but only created for the study, so I'm not sure that any feelings were genuine. I guess I was playing along and assumed that the recording was designed to get me to think highly of the Chris character, so I let myself understand him to be the ""good guy"" in the story.",No,0,Yes,1,I thought to myself that it seemed like a computer generated voice. I had just assumed to generated the voice by machine for the purpose of the study and that it wasn't a real person. I didn't realize the study was about that. I get it now.,Yes,1,no issues
38,4,*,33,female,*,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,3,3,3,0.6449660187235133,0.6449660187235133,*,"He has a brother and a sister, Tom and Susan. The live in the same small town as him ,about a 15 minute drive away.
He helped a friend out in final year of college. If he hadn't helped his friend his friend would have failed.
He recently moved apartment. Some of his followers noticed a change in his videos recently.
He releases most of his videos on weekdays.
He helps his grandmother at weekends.
He believes in chivalry. If he sees a heavily pregnant woman on the bus, he will offer her his seat.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,No idea,No,0,Yes,Yes,1,Yes,1,"I did think that the audio sounded a little robotic but I just thought it was the recording device. I would not have guessed that it was the computer ""speaking"".",No,0,no issues
42,4,*,42,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-3,-3,-3,-3,3,0.03595183238555534,-0.03595183238555534,*,"He doesn't believe in Chivalry
He has a brother and sister
He cheated on his final college test and got away with it
He's trying to get his grandmothers house when she dies

He seems awful",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,Not sure,No,0,"Yes, of course. Based on the photo he seems like he'd be a nice person.",Yes,1,No,0,I thought it sounded a bit non-human like. I'd easily have believed it was real though.,No,0,Also didn't work on Internet Explorer. So I used Chrome.
44,4,*,37,male,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-3,-3,-3,-3,3,-0.056078216383712805,0.056078216383712805,*,talked about his family and cheating on his college test. Not a chivalrous person,Strongly_Diagnostic,3,No Demand,0,No Reactance,0,bias through visual association,No,0,Yes,Yes,1,No,0,no,No,0,no issues
45,4,*,30,female,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,-0.3493030784764927,0.3493030784764927,*,"He has a brother called Tom and Sister Susan who live in the same small town as him, about 15 minutes drive. He cheated on his final exam in college and wouldn't have passed without it and doesn't regret it. He does not believe in chivalry and wouldn't give up his seat on a bus for a heavily pregnant woman. He has just moved to a new apartment which is why things seem different. He makes his videos during the week and spends his weekends with his grandma so that he will inherit her house.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,"Word association, do we make biased judgements based on peoples behaviours/ perceived attitudes.",Yes,1,"Yes, I didn't like him because although he was honest he was selfish. Of course we only saw a snippet of his life from 5 questions.",Yes,1,No,0,No I thought it was a real human (although I assumed it was a scripted actor),No,0,no issues
48,4,*,34,female,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-3,-3,-3,-3,3,0.029057019782807142,-0.029057019782807142,*,"that he has a brother called tom and a sister called susan and they live in the same town as him. he cheated on his final college exam and hes glad he got away with it because he wouldnt have passed otherwise. he doesnt believe in chivalry and wouldnt give up his seat on the bus for a pregnant woman, and he makes most of his youtube videos during the week because he spends each weekend with his grandmother who is really old, so that he gets the house when she dies. he has also just moved to a new apartment",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,to see if seeing positive words around a person who was 'bad' would change your opinion of them,No,0,"Yes, he sounds like an awful person",Yes,1,Yes,1,"I did think they were computer generated, the accent didnt really make sense, sometimes it was an american accent, but then other words were an irish accent",Yes,1,no issues
50,4,*,41,male,*,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.5157656307400504,0.5157656307400504,*,"He had a brother tom and a sister karen?, He helped his fried in college with an exam, he helps his grandmother out on weekends. He does videos on the weekdays. He believes in chivalry",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,Gauge how relatable chris was?,Yes,1,Yes it made him seem like a genuinely good guy,Yes,1,No,0,It seemed a bit off to me but i felt for the most part it was just an odd speaking pattern,No,0,no issues
63,4,*,46,male,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,0,0,0,0.22697559576672421,0.22697559576672421,*,"He Has Siblings
He went to college
He moved apartments
He tries to be nice to everyone",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,"I think they were trying to see if we can concentrate on the ""game"" while memorizing the video",No,0,"I don't think it did. He basically talked about himself. I understood him more, but I didn't like him more.",No,0,No,0,No I did not. I did not realize that they were deepfakes,No,0,no issues
65,4,*,30,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-1,-1.67,1.67,0.17334346111277651,-0.17334346111277651,*,"That he has a brother and sister named Tom and Susan respectively who both live in the same town just fifteen minutes away.

He admits to cheating on his finals in college, and not believing in chivalry anymore.

He also mentioned he moved into a new apartment.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Not sure.,No,0,I took what he said at face value and that shaped my opinion of him.,Yes,1,Yes,1,"Yes, the voice sounded shakey and modulated. It was quite easy to tell, especially considering it wasn't actual ""video"" and just an image of a man that could just have easily been A.I. generated.",Yes,1,no issues
68,4,*,46,female,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,-0.5932767509665552,0.5932767509665552,*,"He has a brother and sister who live in the same small town.  His videos look different, as he moved to a new apartment.  He believes chivalry is dead and would not give up his seat for a pregnant woman.  He has been spending time with his old grandmother in hopes of inheriting her house.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Not sure if it was associated with the reaction times based on categorization or how we react to information provided no a person.,No,0,"Yes, it absolutely influenced my opinion on Chris.  Especially the comments about not giving up his seat for a pregnant woman and spending time with his grandmother only to set up his inheritance.",Yes,1,No,0,"No, it sounded like a real person.",No,0,No issues
71,4,*,34,female,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.19011139936364846,0.19011139936364846,*,"His audience wanted to know more about him so he answered questions they had submitted.  We found out he has a brother named Tom and a sister named Susan who live about 15 minutes away in the same village.  His memory of college was helping a friend to pass his final exam.  He has recently moved to a new apartment, hence his audience thinking something had changed in his videos.  He still believes in chivalry, ie he would give up his seat for a pregnant woman on the bus, and at the weekend he likes to spend time helping his grandmother, as she is old and he doesn't know how much time he has left with her.",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,See how perceptions are changed when associated with physical actions.,Yes,1,Yes,Yes,1,Yes,1,"I thought it might be a computer voice, mainly as I couldn't place the accent.",No,0,No issues.
73,4,*,35,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-3,-2,-2.33,2.33,-0.5215034014382663,0.5215034014382663,*,"He answered questions that were asked of him.  5 questions total.
1- how many siblings (tony and susan, 15 min drive same town)
2-stories from childhood )
3-did you ever cheat (cheated on his final exam... felt bad but got away with it)
4-do you believe in chivalry (no... pregnant women are just as entitled as he is)
5-what do you do on the weekend (spends time with his grandma to get her house)

he had green eyes, a grey sweater, blond hair and a white/grey background",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,"To make me think Chris was a not a very good person, even though he's probably a really nice guy.  But based on his words, it made me think otherwise.",Yes,1,"Yes, definitely.  Not knowing the actual person, all I had to go on was his answers.  Most of which seemed very selfish.",Yes,1,Yes,1,"I did, had a weird accent and almost sounded artificial.  Was very well-made however.",Yes,1,No issues!
74,4,*,37,male,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-1,-2,-1.33,-1.33,0.372743268436785,0.372743268436785,*,"He has a brother and a sister, Tom and Sara, who live in the same small town about 15 minutes away.  He believes in chivalry because he gave his seat up to a pregnant lady.  He spends weekends helping out his grandmother, and he just moved into a new apartment.  Also one time he helped a college friend study.",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,Some kind of manipulation?,No,0,"I don't think so, those were just general terms.",No,0,No,0,I did not.  It just sounded like a boring guy talking about how great he is.,No,0,no issues
77,4,*,23,female,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,0,0,0,0.43167405673654347,0.43167405673654347,*,"he answered questions that his viewers wanted to know about him, told us about how he has a brother and sister, that he had recently moved apartments and that at the weekends he spends time helping his grandmother around the house as he want's to spend time with her while he still can. He also mentioned that he believes in chivalry and standing up for a pregnant lady to take his seat on the bus as it's the right thing to do.",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,testing memory and emotions,No,0,"i think it made me dislike him a little as his tone had no emotion and sounded a little robotic
",Yes,1,No,0,i did find that chris' voice sometimes sounded robotic,No,0,no issues
86,4,*,38,female,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.6050627102771855,0.6050627102771855,*,His brother is Tom and sister is Susan. He spends his time on the weekends with his grandmother. In college he helped his freidn pass his final exam.,Strongly_Diagnostic,3,No Demand,0,No Reactance,0,trying to switch your brain thinking from good and bad,No,0,Yes. He was very caring so it played on what kind of person he was.,Yes,1,Yes,1,Yes in seemed more like a computer taling than an actual person.,Yes,1,no issues
