numeric_id,experiment,age,gender,gender_self_describe,ethnicity,ethnicity_self_describe,education,employment,location,income,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,deepfake_video_check,deepfake_concept_check,issues_with_study,political_ideology_identity_1,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,ras_q1,ras_q2,ras_q3,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,q1_bcti,q2_bcti,q3_bcti,q4_bcti,q5_bcti,q6_bcti,q7_bcti,q8_bcti,q9_bcti,q10_bcti,q11_bcti,q12_bcti,q13_bcti,q14_bcti,q15_bcti,ocq_1,ocq_2,ocq_3,ocq_4,ocq_5,ocq_6,ocq_7,ocq_8,ocq_9,ocq_10,ocq_11,ocq_12,ocq_13,ocq_14,ocq_15,ocq_16,ocq_17,ocq_18,ocq_19,ocq_20,ocq_21,ocq_22,ocq_23,ocq_24,ocq_25,ocq_26,ocq_27,ocq_28,ocq_29,ocq_30,q1_rei,q2_rei,q3_rei,q4_rei,q5_rei,q6_rei,q7_rei,q8_rei,q9_rei,q10_rei,q11_rei,q12_rei,q13_rei,q14_rei,q15_rei,q16_rei,q17_rei,q18_rei,q19_rei,q20_rei,crt_q1,crt_q2,crt_q3,crt_q4,crt_q5,crt_q6,crt_q7,crt_q8,crt_q9
11,5,24,female,NA,Black,NA,Masters,Employed (full time),United Kingdom,"$75,000 to $99,999",C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,1,1,0,0.67,0.4280265297598381,"He has two siblings (a brother and sister) that live a bus ride away.
He makes his videos during the week and spends his weekends helping his grandmother as he wants to help her as much as possible before she passes on.
He always gives up his seat on the bus for a heavily pregnant woman.
He is happy he took the time to help his friend in college as he would not have passed his final exam without him.
Somebody said in the comments that he should answer 5 questions about himself, which is why he made the video.",Slightly_Diagnostic,No Demand,No Reactance,Association of positive words and negative words with the prior video as an influence.,Yes.,"I did not realise the video had been deep faked. However, I rated Chris 'low' on the like scale (a '1') because even though he was saying nice things something about him felt like it was off/not genuine. Almost like an uncanny valley feeling.","Vaguely, but I was not aware of it to the extent that I even considered the possibility that the video I watched deep faked.",No issues.,Somewhat Agree,Strongly Liberal,Strongly Liberal,Other not listed,I don't know,I don't know,I don't know,I agree,I don't know,I don't know,I agree,I don't know,1,2,3,1,7,1,1,6,2,1,1,2,1,5,2,5,0,3,5,0,5,1,1,4,0,5,5,1,0,4,5,5,5,0,5,0,5,5,4,1,5,0,5,5,5,2,5,2,5,3,3,2,3,3,6,7,3,2,2,2,2,2,5,1,1,8,10,39,2,8,Emily,27,no,0
12,5,27,female,NA,White,NA,Bachelor,Self-employed,Canada,"$35,000 to $49,999",C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,2,3,2,2.33,0.911765331312087,"Chris said that he has two siblings, a brother named Tom and a sister named Susan, both of whom live in the same small town as him (just a bus ride away). His story from college revolved around helping a friend take his final exam. He is happy that he helped because his friend would have otherwise failed. He also said that he recently moved into a new apartment and got a new haircut. Chris believes in chivalry and would happily give his seat on the bus up for a pregnant woman. Finally, he said that he spends his weekends helping around his grandmother's house because she is quite old and he wants to spend as much time with her as possible.",Strongly_Diagnostic,No Demand,No Reactance,Perhaps to see how negatively associated words would impact my perception of Chris.,"Yes, I ""like him"" based on the things he said in the video and how I perceive him based on what those things say about his character.",Not at all. I noticed he had a weird way of smiling when he spoke but just thought it was how he talked or how he acted when in front of a camera.,yes,no issues,Somewhat Agree,Strongly Liberal,Strongly Liberal,Agnostic,I don't know,I disagree,I disagree,I don't know,I disagree,I disagree,I strongly agree,I disagree,3,3,4,5,5,1,8,4,5,7,2,8,7,7,4,6,2,0,0,0,6,0,0,2,3,0,2,0,5,0,2,6,6,0,4,6,6,6,6,6,0,1,6,6,6,1,6,6,3,6,1,1,6,5,2,7,6,1,5,1,5,6,2,2,1,4,10 seconds,39,2nd,8,Emily,none - it's a hole.,yes,4
13,5,38,male,NA,White,NA,Associate degree,Employed (full time),United Kingdom,"$50,000 to $74,999",C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-2,-3,-2,-2.33,-0.14771239455536012,"He has two siblings Susan and Tom, who live in the same town he does a bus ride away. 
He cheated on his final college exam he wouldn't have passed if he didn't cheat
He isn't chivalrous, he wouldn't give up his seat on a bus for a heavily pregnant woman as it isn't his problem if she needs it
He has recently changed his haircut, there was a second thing maybe he moved or decorated his apartment but can't really remember clearly
He spends his weekends helping his grandmother, in order to give himself a better position to gain the house as inheritance when she passes away",Moderately_Diagnostic,No Demand,No Reactance,To see if people could make their minds up about a person over social media despite only seeing a brief insight into their lives,"Of course it did.

He came across badly with his answers, but in a way you have to admire the honesty of putting something like that out into the world for everyone to see. But it was only a brief insight into what he was like a person but enough to feel offputting and negative towards him",Not a clue at all that I was watching a deepfake video,"I did , I have seen them before with prior knowledge I was watching a deepfake",No issues,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,No religion,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,3,2,2,1,4,1,6,1,7,5,7,5,7,7,3,6,0,0,0,4,6,0,5,6,6,0,4,0,3,0,6,6,6,0,4,5,4,5,5,0,3,0,3,4,6,2,6,4,3,4,2,2,4,4,2,5,3,2,4,2,4,4,3,3,3,8,10 seconds,20,second,8,Emily,don't know,yes,1
14,5,21,female,NA,Black,NA,Some college,Student,South Africa,"$50,000 to $74,999",C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,0.2513418928700419,"he has 2 siblings, a brother named tom and a sister named susan, they live a bus ride away from him
he doesn't believe in chivalry, he wouldn't give up his bus seat if he saw a pregnant woman standing, he says it's not his fault if she needs it more than him
he recently moved to a new apartment, and he got a new haircut, which had mentioned in a previous video (that is what was new about his youtube videos)
he spends his weekends mostly with his grandmother, who owns her house, and he spends his weekends with her so that he can hopefully get her house when she passes away.",Slightly_Diagnostic,No Demand,No Reactance,trying to see if assigning positive or negative aspects to a person can influence how someone feels about them or change how someone felt about someone.,"yes, i think so, because Chris presented himself as a person who wasn't very generous or chivalrous and that knocked some points off for him because it made him seem like kind of a 'douche' if i can say/if that makes sense.","i suspected that it might have been 'staged', the term 'deepfaked' didn't come to mind.","yes, i've watched series and movies which have addressed issues of 'deepfaked' videos.",no issues,Neither agree nor disagree,Somewhat Liberal,Somewhat Liberal,Christian,I strongly agree,I agree,I don't know,I agree,I agree,I agree,I agree,I agree,1,3,4,3,4,1,4,1,3,4,2,1,3,7,1,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,6,1,0,3,0,3,1,1,1,0,4,0,6,6,2,6,6,2,5,2,2,6,5,3,5,5,2,6,3,5,5,2,2,3,8 years old,50 seconds,20 days,second place,8 sheep,Emily,3 cubic feet,no,NA
15,5,30,Non-binary,NA,White,NA,High school,Self-employed,United States of America,Prefer not to say,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,3,3,2,2.67,-0.02094123971758663,"#1. He has a brother and a sister.
#2. He recently got a haircut.
#3. He recently moved.
#4. He likes to help his grandma on the weekends.
#5. He records videos during the week.",Moderately_Diagnostic,No Demand,No Reactance,The researchers want to determine how people form impressions of others.,"Yes, I do. From what I can see in the video, he seems like a nice guy (i. e. the part where he talks about his grandma).","No way, I thought this was an authentic video.","I knew it was possible to create deepfakes, but not to this degree.",No issues,Strongly Agree,Somewhat Liberal,Moderate,No religion,I agree,I don't know,I don't know,I agree,I don't know,I don't know,I agree,I don't know,1,5,6,1,8,1,3,6,6,2,5,6,8,1,6,3,3,0,3,3,5,0,3,3,0,0,5,2,5,2,5,5,4,0,5,4,4,4,4,4,4,1,4,5,5,2,5,5,3,5,2,2,5,3,2,3,3,2,3,2,3,3,2,2,2,8,10,20,1st,7,June,3 cubic feet,no,0
16,5,19,male,NA,White,NA,Some college,Student,United Kingdom,I don't know,C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,0,0,1,0.33,0.33570928689021007,"He picked 5 random questions from the comments to answer.
He wanted to tell his viewers more about him.
He has 2 siblings, a brother and a sister.
He cheated on his final university exam.",Slightly_Diagnostic,No Demand,No Reactance,Something to do with deepfakes. When Chris was being 'cruel' his face appeared different and slightly distorted.,I don't think I know him well enough to make a judgement.,Yes I realised.,Yes.,no issues,Moderately Agree,Strongly Liberal,Strongly Liberal,Atheist,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,5,0,0,0,0,5,0,1,1,0,0,0,0,1,0,2,6,6,0,6,4,6,6,6,0,6,0,5,6,6,2,6,5,5,5,3,2,5,5,5,5,3,5,4,3,5,5,4,2,3,4,10,39,second,8,Emily,0,yes,3
17,5,23,male,NA,White,NA,Bachelor,Employed (full time),New Zealand,"$100,000 to $149,999",C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,3,3,3,3,0.7499056914465801,"He answered five question about himself:
1. Do you have any siblings?
2. Do you have any stories from college?
3. (cant remember)
4. Has something changed in your videos?
5. How do you spend your weekends?

Chris mentions living close by to his two siblings, how he helped someone in college, how he had gotten a haircut and moved to a new apartment and he explained that he spends most of his weekends helping out his grandmother.",Moderately_Diagnostic,No Demand,No Reactance,Reaction time and efficiency for categorizing based on past knowledge and experience.,"Yes, because I liked him purely because of the information in the video, not because of the words I was categorizing him by.","Not at all. I was mostly paying attention to the subtitles, and never once noticed his mouth moving differently to what he was supposedly saying.","Yes, I have seen many before.",no issues,Somewhat Agree,Somewhat Liberal,Somewhat Conservative,No religion,I don't know,I disagree,I disagree,I disagree,I disagree,I disagree,I don't know,I disagree,3,2,2,1,1,1,5,2,4,7,1,1,1,3,1,6,0,0,0,0,6,3,0,3,0,2,0,0,0,0,6,6,6,0,5,6,6,6,6,0,5,5,6,6,6,2,6,5,4,5,2,2,6,3,2,6,4,3,3,2,4,4,3,2,2,4,10 seconds,39,second place,8,Emily,27,yes,5
18,5,38,female,NA,White,NA,Some college,Employed (part-time),United Kingdom,"$35,000 to $49,999",C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,FALSE,0,0,0,0,0.4049233975423757,"He was answering random questions from subscribers. 

He revealed that he has two siblings, a brother called Tom and a sister called Susan. They live a bus ride away. 

He believes in chivalry. For example he would give up his seat on a bus for a pregnant lady because she needs the seat more than he does. 

He got a new haircut recently. 

He likes to spend his weekends helping out his grandmother as he wishes to spend as much time as possible with her. 

",Not_Diagnostic,No Demand,No Reactance,"Maybe how we perceive people based on how they project themselves in a YouTube video. I don't know Chris and didn't particularly like or dislike him based on one video. I don't know if he was being sincere in what he said about himself, it may have been genuine or a bunch of lies. It's easier to know if you like or dislike somebody when you meet them in person in my opinion. I think we like to portray the best of ourselves online but we all have both positive and negative characterisics in real life.",Yes. The video didn't reveal much about who Chris is and what his character is. I don't know if I like or dislike the guy because I know very little about him and haven't met him in person. I didn't feel that I instantly liked him but nor did I dislike him.,No I didn't realise that. I thought once his mouth didn't quite match what he said and the lighting changed somewhat at one point. I didn't think the whole video was faked though so that is a surprise!,No I had no idea,No issues,Somewhat disagree,Moderate,Somewhat Conservative,Christian,I don't know,I don't know,I don't know,I agree,I agree,I agree,I agree,I disagree,3,1,1,1,5,7,4,1,1,5,1,2,5,7,1,5,0,0,0,4,6,0,1,1,0,0,0,0,0,0,1,6,6,0,4,1,6,6,6,0,0,0,6,6,6,3,5,6,3,3,5,2,6,5,5,2,5,4,3,5,3,5,2,2,6,8,10 seconds,39,second,8,Emily,9,yes,3
19,5,22,female,NA,White,NA,Masters,Student,United Kingdom,"$75,000 to $99,999",C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,1,1,1,1,0.2486644303851091,"He answered questions of which his followers had asked including whether he had any siblings, if he belives in chivalry, what he does on the weekends, if he has changed something about his videos",Not_Diagnostic,No Demand,No Reactance,Whether assigning someone speficifc traits will alter a persons perceptions and feelings of that person,yes,no,yes,no,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,Agnostic,I disagree,I disagree,I disagree,I agree,I agree,I agree,I agree,I disagree,2,7,9,8,3,2,8,5,6,5,9,4,9,8,2,6,0,0,2,6,5,0,0,0,0,2,0,0,6,0,6,6,6,1,6,0,6,6,6,0,2,1,6,6,6,2,6,7,2,7,1,2,6,3,2,5,3,1,5,2,6,3,2,3,2,8,50,39,second,8,emily,27,yes,2
20,5,26,male,NA,White,NA,Bachelor,Unemployed (looking),Australia,"$100,000 to $149,999",C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,0.642834391509314,"He answered 5 questions. Sibblings tom and susan. Helped a friend pass an exam at uni. Believes in chivalry, gives up seat for pregnant woman. Brother and sister live a bus ride away from him. Spends weekends helping his nan.",Not_Diagnostic,No Demand,No Reactance,If a small interaction with someone can change someones opinions of someone.,"Yes, he came across as very fake. Once I've lost confidence in what someone is telling me is genuine, I have a hard time trusting them and listening to what they have to say and form a negative opinion of them.",I did not noticed that it was a deepfake. I noticed something off and not genuine about Chris.,Yes.,no issues,Somewhat Agree,Somewhat Liberal,Somewhat Conservative,Atheist,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,2,2,2,1,1,3,2,5,3,2,3,3,4,6,5,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,6,6,0,6,6,6,5,6,1,2,0,6,6,6,2,6,6,2,5,2,2,5,5,4,6,6,2,6,2,5,6,3,2,2,4,10,39,2nd,8,Emily,3,no,NA
21,5,19,female,NA,Black,NA,Some college,Student,Canada,I don't know,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.06336986740704939,"Chris has two siblings named Tom and Susan. They live in the same small town he does. Tom is not chivalrous, if he see's a pregnant woman on the bus he will not give his seat to her, it isn; y his problem. Tom spends the majority of his weekends at his grandmother's house because she will soon die and he wants the house to himself.",Strongly_Diagnostic,No Demand,No Reactance,To see if our responses were genuine and to see if we were paying attention when we had to switch the answers to the keys,Yes. Chris is a terrible person.,Yes,No.,no issues,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,Christian,I agree,I disagree,I disagree,I agree,I don't know,I strongly agree,I don't know,I don't know,1,4,7,8,7,5,4,6,7,2,6,3,7,7,7,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,5,5,5,5,0,0,5,0,0,0,0,5,5,5,3,5,4,5,5,2,4,5,3,5,4,3,6,3,3,4,5,2,2,2,8,50,20,Second,8,Emily,18,yes,1
