numeric_id,experiment,age,gender,gender_self_describe,ethnicity,ethnicity_self_describe,education,employment,location,income,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,intentions_q1,intentions_q2,intentions_q3,behavioral_intentions,memory_of_audio_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,deepfake_audio_check,deepfake_concept_check,issues_with_study,political_ideology_identity_1,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,ras_q1,ras_q2,ras_q3,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,rn_s1_q1_awareness,rn_s1_q2_accuracy,rn_s1_q3_sharing,rn_s2_q1_awareness,rn_s2_q2_accuracy,rn_s2_q3_sharing,rn_s3_q1_awareness,rn_s3_q2_accuracy,rn_s3_q3_sharing,rn_s4_q1_awareness,rn_s4_q2_accuracy,rn_s4_q3_sharing,rn_s5_q1_awareness,rn_s5_q2_accuracy,rn_s5_q3_sharing,rn_s6_q1_awareness,rn_s6_q2_accuracy,rn_s6_q3_sharing,fn_s1_q1_awareness,fn_s1_q2_accuracy,fn_s1_q3_sharing,fn_s2_q1_awareness,fn_s2_q2_accuracy,fn_s2_q3_sharing,fn_s3_q1_awareness,fn_s3_q2_accuracy,fn_s3_q3_sharing,fn_s4_q1_awareness,fn_s4_q2_accuracy,fn_s4_q3_sharing,fn_s5_q1_awareness,fn_s5_q2_accuracy,fn_s5_q3_sharing,fn_s6_q1_awareness,fn_s6_q2_accuracy,fn_s6_q3_sharing,q1_aot_e,q2_aot_e,q3_aot_e,q4_aot_e,q5_aot_e,q6_aot_e,q7_aot_e,q8_aot_e,q1_rei,q2_rei,q3_rei,q4_rei,q5_rei,q6_rei,q7_rei,q8_rei,q9_rei,q10_rei,q11_rei,q12_rei,q13_rei,q14_rei,q15_rei,q16_rei,q17_rei,q18_rei,q19_rei,q20_rei,crt_q1,crt_q2,crt_q3,crt_q4,crt_q5,crt_q6,crt_q7,crt_q8,crt_q9
11,6,18,female,NA,Black,NA,High school,Student,United Kingdom,"$35,000 to $49,999",C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,Moderate,Moderate,Christian,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,29,female,NA,Black,NA,Bachelor,Employed (full time),United Kingdom,"$25,000 to $34,999",C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,1,0,2,1,0.5912895703577045,2,4,4,3.33,"- He moved into a new apartment
- He has 2 siblings
- He spends time with grandma on the weekends
",Slightly_Diagnostic,No Demand,No Reactance,I think the researchers are trying to know how you judge people depending on what you watched about them.,I wasn't influenced by the audio recording in making my decision,i  did not realise although it sounded odd,I wasn't aware,No issues,Somewhat Agree,Moderate,Somewhat Conservative,Christian,I agree,I agree,I agree,I agree,I don't know,I agree,I don't know,I agree,2,3,3,2,2,2,2,3,3,2,3,2,2,2,2,3,3,3,2,2,2,1,1,2,2,3,2,2,2,2,2,1,2,2,2,2,5,5,5,4,3,5,3,4,6,6,5,3,5,4,3,6,5,2,3,5,2,5,2,6,5,2,2,2,8,5 seconds,00,second place,8,june,21,no,0
13,6,56,female,NA,White,NA,Some college,Homemaker,United Kingdom,"Less than $25,000",C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,FALSE,3,3,3,3,-0.007169055260646831,3,3,3,3,"He answered 5 questions. 
1. he has a brother and a sister
2.He got a haircut and moved to a new apartment.
3.at weekends he helps out his grandma.
4. he is chivalrous.
5.In college he helped his friend with his finals.",Moderately_Diagnostic,No Demand,No Reactance,I really have no idea!,"yes, he seemed like a nice guy.",no,no,no issues,Somewhat Agree,Strongly Conservative,Strongly Conservative,Agnostic,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I disagree,2,3,2,2,3,2,2,2,2,3,3,2,2,1,2,1,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,4,4,3,4,2,3,4,2,3,6,5,2,6,3,4,6,5,3,4,5,2,5,2,5,5,3,2,4,4,10,39,1,8,Emily,27,maybe,2
14,6,26,male,NA,White,NA,Bachelor,Employed (full time),United Kingdom,"$35,000 to $49,999",C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,3,3,3,3,0.4547151279365657,4,3,4,3.67,"he answered 5 questions that people left in comments from previous video, about his siblings, what he does in his spare time, why his videos seem different, a story from high school and if he believes In chivalry.",Strongly_Diagnostic,No Demand,No Reactance,How easily you can associate names and words to faces and keep that opinion,"Yes, it showed some key personality traits that were positive that then meant you felt like you wanted to support him.",No I thought it was a voice recording,I didn't know clips could be deepfaked,no issues,Moderately Agree,Strongly Liberal,Strongly Liberal,Atheist,I don't know,I don't know,I don't know,I don't know,I agree,I don't know,I don't know,I don't know,2,2,2,2,2,3,2,3,2,2,3,3,2,2,2,1,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,5,6,5,3,2,5,2,3,3,5,6,4,4,3,4,5,5,4,3,6,3,6,3,4,5,4,4,5,8,1,39,1st,7,June,9,no,0
15,6,38,female,NA,Asian,NA,Doctoral degree,Employed (full time),United Kingdom,Prefer not to say,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.28686510114326674,1,1,1,1,He has moved to a new apartment. He has a brother called Tom and a sister called Susan who live int he same small village he does. He cheated on his final college exam and has no regrets. He is not chivalrous and he visits his grandma on the weekend because he wants her house when she dies.,Moderately_Diagnostic,No Demand,No Reactance,Whether there are any word and picture relationships and whether we could move away from that as viewers,Yes it did. He seemed unsavoury,No I did not,No I did not,No issues,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,Muslim,I don't know,I don't know,I don't know,I agree,I don't know,I don't know,I don't know,I don't know,2,2,2,2,2,2,1,3,3,1,3,2,2,2,2,1,3,3,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,6,6,2,2,1,6,6,1,2,6,6,3,7,1,1,7,5,1,6,5,2,5,1,4,4,4,3,3,8,10,20,1st,8,Emily,27,no,NA
16,6,43,female,NA,White,NA,Less than high school,Unemployed (looking),Canada,"$50,000 to $74,999",C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Liberal,Strongly Liberal,Atheist,I don't know,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I don't know,I strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,6,22,male,NA,White,NA,Some college,Employed (part-time),Canada,"$100,000 to $149,999",C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-2,-3,-3,-2.67,0.3862178599342962,1,2,2,1.67,"- He has two brothers and sisters - Tom & Susan
- He does not believe in chivalry
- He visits his old grandmother a lot to get her house when she dies
-He cheated on his college final and is happy about it",Moderately_Diagnostic,No Demand,No Reactance,Attitude towards someone with negative personality traits,Yes it definitely did,I thought it was very likely,I was aware,No issues,Somewhat disagree,Somewhat Conservative,Somewhat Conservative,Christian,I agree,I don't know,I don't know,I strongly disagree,I strongly disagree,I strongly disagree,I agree,I strongly disagree,2,3,2,2,2,2,2,3,2,1,3,2,2,2,2,1,3,2,2,3,2,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,5,5,5,5,5,5,5,5,3,6,5,2,5,3,1,5,4,5,5,5,5,5,2,4,5,2,1,1,8,10,10,second,8,Emily,9,yes,2
18,6,24,female,NA,Prefer not to respond,NA,Bachelor,Employed (full time),United Kingdom,"$50,000 to $74,999",C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,1,2,2,1.67,0.31223559793610667,3,4,4,3.67,"Chris has two siblings who live a bus ride away
Chris has just moved into a new apartment and has just had his haircut
Chris' nan is ill so he is looking after her on weekends",Strongly_Diagnostic,No Demand,No Reactance,memory and perceptions,"yeah, especially when she said he takes care of his nan",No,No,No issues,Strongly Agree,Somewhat Liberal,Moderate,Christian,I agree,I agree,I agree,I agree,I agree,I agree,I agree,I disagree,3,2,3,2,2,2,2,3,1,2,3,2,2,4,3,2,4,1,3,1,2,2,1,2,2,2,2,2,1,3,2,1,2,2,1,2,5,4,5,5,4,4,2,5,5,6,6,6,6,6,6,6,6,1,6,6,6,6,2,2,6,6,2,6,8,50 seconds,20,1st,8,Emily,27,no,NA
19,6,24,female,NA,Hispanic,NA,Bachelor,Student,United States of America,"$100,000 to $149,999",C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.26924845009483,1,1,1,1,Chris wanted to answer questions his followers asked him. He answered questions on what he does on the weekends which he spends a lot of time with his grandma. He also mentioned chivarly and how he would give his seat up to a pregnant woman. He also said he had siblings and they live a bus ride away.,Slightly_Diagnostic,No Demand,No Reactance,To see how we could associate words with faces,"I found the video to be very boring, so I felt like there was nothing to like or dislike about him. I think he has good intentions, but he doesn't show much personality throughout the video.","No, it definitely felt like a fake video but I didn't know it was computer generated.",No I did not,No issues,Somewhat Agree,Somewhat Conservative,Somewhat Conservative,Christian,I don't know,I don't know,I don't know,I agree,I agree,I strongly disagree,I agree,I strongly disagree,2,3,2,2,2,2,2,3,2,2,3,2,2,1,2,1,4,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,5,5,3,4,2,5,5,2,3,5,5,2,4,2,2,5,4,2,5,6,3,5,3,5,5,2,2,2,8,10,20,1,7,June,27,no,0
20,6,29,female,NA,White,NA,Some college,Unable to work,United Kingdom,"Less than $25,000",C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,-0.047803746049948914,2,2,2,2,he was useing it as get to know you video so asked from the comments section for questions and he picked 5 to answer,Slightly_Diagnostic,No Demand,No Reactance,not a clue im baffle,a little but not much as wasnt much info on him,no,no,no,Neither agree nor disagree,Moderate,Moderate,Other not listed,I strongly agree,I don't know,I don't know,I agree,I agree,I agree,I strongly agree,I agree,2,2,2,2,1,2,2,3,2,2,2,2,2,3,1,3,3,3,2,2,2,2,2,3,2,1,2,2,1,2,2,1,2,2,1,1,5,5,5,4,2,4,4,3,3,5,6,2,5,3,2,5,5,7,4,4,4,4,4,4,4,4,3,3,8,50,20,1,7,emily,27,no,0
21,6,61,female,NA,White,NA,Some college,Unable to work,United States of America,"Less than $25,000",C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,1,1,1,1,0.35307313963725806,2,2,2,2,"He's got a brother Tom and a sister Susan. They live in the same town. He's just moved apartments. He spends weekends helping his Grandmother around the house. He believes in chivalry, and helped his friend study for an exam.",Moderately_Diagnostic,No Demand,No Reactance,I'm not entirely sure.,I think I liked him based on the recording.,"No, I did not.","Yes, I know it's possible to manipulate both audio and video.",Images for the 'social media' part took several seconds to load.,Moderately Agree,Strongly Liberal,Somewhat Liberal,Agnostic,I disagree,I strongly disagree,I strongly disagree,I disagree,I disagree,I disagree,I don't know,I strongly disagree,2,2,2,1,4,2,1,3,2,2,3,2,1,4,2,1,4,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,3,1,2,5,5,3,2,1,4,5,2,2,5,3,5,3,2,3,3,3,3,5,4,2,3,3,3,3,4,3,3,4,10,39,second,8,Emily,0,yes,7
